EBlowEtaBad 	 0.0088	0.0002
EBlowEtaGold 	 0.0097	0.0002
EBhighEtaBad 	 0.0187	0.0003
EBhighEtaGold 	 0.0131	0.0014
EElowEtaBad 	 0.0232	0.0003
EElowEtaGold 	 0.0225	0.0007
EEhighEtaBad 	 0.0269	0.0004
EEhighEtaGold 	 0.0254	0.0003
